Alpha,T1_Re1.000_M0.00_N9.0, , 
         21.8,     0.2849598, , 
         21.9,     0.2870654, , 
           22,     0.2891867, , 
         22.1,     0.2913362, , 
         22.2,     0.2935358, , 
         22.3,     0.2958107, , 
         22.4,     0.2981959, , 
         22.5,     0.3007821, , 
         22.6,     0.3038487, , 
         22.7,     0.3256886, , 
         22.8,     0.3283958, , 
         22.9,     0.3310033, , 
           23,     0.3335549, , 
         23.1,     0.3360599, , 
         23.2,     0.3385283, , 
         23.3,     0.3409673, , 
         23.4,     0.3433824, , 
         23.5,     0.3457781, , 
         23.6,     0.3481575, , 
         23.7,     0.3505237, , 
         23.8,     0.3528794, , 
         23.9,     0.3552275, , 
           24,     0.3575695, , 
         24.1,     0.3599128, , 
         24.2,     0.3622598, , 
         24.3,     0.3646078, , 
         24.4,     0.3669605, , 
         24.5,     0.3693226, , 
         24.6,     0.3716993, , 
         24.7,     0.3741032, , 
         24.8,     0.3765515, , 
         24.9,     0.3790525, , 
           25,     0.3816607, , 
         25.1,     0.3846208, , 
         25.2,     0.3940767, , 
         25.3,     0.3994187, , 
         25.4,     0.4031105, , 
         25.5,     0.4064046, , 
         25.6,     0.4094899, , 
         25.7,     0.4124412, , 
         25.8,     0.4152964, , 
         25.9,     0.4180748, , 
           26,     0.4207729, , 
         26.1,     0.4231375, , 
         26.2,     0.4250234, , 
         26.3,     0.4270885, , 
         26.4,     0.4292681, , 
         26.5,     0.4315091, , 
         26.6,     0.4337848, , 
         26.7,     0.4360798, , 
         26.8,     0.4383848, , 
         26.9,     0.4406913, , 
           27,     0.4429924, , 
         27.1,     0.4452806, , 
         27.2,     0.4475472, , 
         27.3,     0.4497805, , 
         27.4,     0.4519621, , 
         27.5,     0.4540595, , 
         27.6,     0.4559985, , 
         27.7,      0.457481, , 
         27.8,     0.3765252, , 
         27.9,     0.3762124, , 
           28,     0.3759334, , 
         28.1,     0.3756873, , 
         28.2,     0.3754715, , 
         28.3,     0.3752836, , 
         28.4,     0.3751217, , 
         28.5,     0.3749841, , 
         28.6,     0.3748691, , 
         28.7,     0.3747754, , 
         28.8,     0.3747018, , 
         28.9,      0.374647, , 
           29,     0.3746099, , 
         29.1,     0.3745884, , 
         29.2,      0.374583, , 
         29.3,      0.374593, , 
         29.4,     0.3746536, , 
         29.5,     0.3747799, , 
         29.6,     0.3749158, , 
         29.7,     0.3750606, , 
         29.8,     0.3752136, , 
         29.9,     0.3753744, , 
           30,     0.3755422, , 

